u,v
38,44
39,46
39,313
40,505
40,252
41,312
42,49
42,45
42,251
42,44
42,514
42,585
43,517
43,45
43,509
44,309
45,314
45,514
45,261
46,493
46,316
46,516
47,513
47,514
47,519
48,517
49,611
49,61
50,88
50,61
50,97
50,86
50,109
50,67
51,59
51,73
51,96
51,558
51,86
51,90
51,67
51,81
51,57
51,94
51,72
51,77
51,55
52,562
52,551
52,60
52,82
52,93
52,560
52,77
52,64
52,63
52,86
52,84
52,98
53,593
53,75
53,99
53,415
53,85
53,558
53,67
53,81
54,560
54,551
54,79
54,555
54,93
54,558
54,81
54,370
55,77
55,67
55,81
55,87
55,582
55,90
55,74
55,489
55,476
55,84
56,87
56,99
56,82
56,555
56,93
56,85
56,477
56,92
56,581
56,482
57,60
57,89
57,79
57,68
57,84
57,61
57,92
57,69
57,63
57,419
57,582
57,427
58,593
58,64
58,82
58,555
58,554
58,81
58,477
58,585
58,69
58,83
59,551
59,93
59,557
59,62
59,128
59,81
59,422
59,86
60,557
60,64
60,75
60,591
60,93
60,72
61,89
61,77
61,69
61,555
61,72
61,82
61,588
61,98
61,562
61,79
61,94
62,557
62,593
62,87
62,588
62,72
62,487
62,85
62,96
62,74
62,477
63,594
63,554
63,89
63,558
63,552
63,90
64,88
64,128
64,93
64,91
64,551
64,67
64,86
64,97
65,78
65,88
65,77
65,66
65,554
65,81
65,87
65,98
65,76
65,588
65,83
66,557
66,551
66,78
66,591
66,559
66,86
66,81
66,417
67,562
67,89
67,553
67,93
67,85
67,551
67,68
67,71
67,588
67,99
67,76
67,75
67,98
67,87
67,72
67,95
67,73
68,69
68,93
68,98
68,89
69,99
69,89
69,92
69,71
69,98
69,74
69,486
69,72
70,87
70,97
70,90
70,476
71,94
71,85
71,96
71,554
71,92
71,81
71,98
71,89
72,92
72,97
72,98
72,91
73,593
73,560
73,555
73,92
73,97
73,91
74,87
74,75
74,97
74,79
74,90
74,476
74,422
74,95
75,554
75,560
75,87
75,81
75,486
75,594
75,479
75,85
75,96
76,91
76,96
76,79
76,97
76,86
76,555
76,93
76,588
77,553
77,589
77,80
77,86
77,85
77,476
77,87
77,84
77,95
78,591
78,84
78,554
78,92
78,83
79,554
79,89
79,93
79,92
79,425
79,99
79,589
79,83
79,85
79,558
80,553
80,563
80,551
80,89
80,88
80,93
80,87
81,562
81,87
81,91
81,93
81,90
81,83
81,426
81,594
81,558
82,592
82,593
82,555
82,99
82,84
82,139
82,422
84,87
84,555
84,94
84,86
84,97
84,588
84,89
85,93
85,86
85,488
85,95
85,486
85,591
86,93
86,371
86,591
86,581
87,96
87,92
87,558
87,93
87,560
88,89
88,96
88,588
88,560
89,591
89,93
89,95
89,99
89,375
89,551
89,91
89,550
90,479
90,591
90,558
90,92
90,488
91,96
91,94
92,99
92,93
92,558
92,591
92,476
92,486
93,584
93,95
93,97
93,96
93,487
94,560
94,477
94,591
94,558
94,95
95,97
95,98
96,564
96,550
96,552
96,555
96,477
96,588
96,553
97,560
97,591
98,417
98,588
98,581
99,580
99,588
100,579
100,125
100,102
100,132
101,124
101,146
101,107
101,116
101,105
101,149
101,119
102,123
102,136
102,127
102,149
102,138
102,148
103,123
103,116
103,105
103,113
103,146
103,125
103,136
103,143
103,110
104,285
104,579
104,146
104,135
104,122
104,114
104,145
104,115
104,107
104,578
105,285
105,126
105,146
105,579
105,106
105,130
105,134
105,145
105,573
106,280
106,128
106,120
106,109
106,149
107,132
107,113
107,124
107,138
107,578
107,573
107,114
107,576
107,112
108,126
108,284
108,128
108,123
108,136
108,147
108,127
108,144
109,143
109,121
109,120
110,116
110,120
110,142
110,139
110,117
110,573
111,147
111,112
111,149
111,119
111,117
111,148
111,118
112,147
112,114
112,116
112,138
112,149
112,140
112,143
112,132
112,121
112,144
113,123
113,139
113,135
113,138
113,133
113,140
113,569
113,136
113,576
114,577
114,129
115,138
115,120
115,121
115,119
116,126
116,128
116,144
116,134
116,578
117,128
117,134
117,145
117,148
117,578
117,121
118,143
118,137
118,565
118,122
118,573
118,129
118,119
118,574
119,130
119,132
119,121
119,578
119,137
119,144
120,284
121,144
121,129
121,489
121,577
122,579
122,143
122,124
122,123
122,134
122,145
122,140
122,144
122,573
123,280
123,294
123,129
123,578
123,135
123,133
124,143
124,132
124,573
124,140
124,576
125,566
125,146
125,576
125,568
126,147
126,144
126,143
126,284
128,139
129,138
129,148
129,573
129,140
129,569
130,569
130,145
130,565
131,142
131,149
131,143
131,148
132,579
132,143
132,576
132,140
133,144
134,144
134,140
135,285
135,139
135,143
135,147
135,565
135,138
136,144
136,140
136,579
136,139
136,370
136,147
137,149
137,565
137,148
137,573
138,143
138,149
138,145
140,146
141,142
141,577
142,146
145,147
145,149
146,578
146,148
147,579
148,578
148,579
150,175
150,165
150,196
150,159
150,192
150,162
150,195
150,194
151,180
151,194
151,542
152,179
152,168
152,189
152,191
152,184
152,166
152,155
152,170
152,335
153,191
153,165
153,192
154,164
154,160
154,180
154,176
154,157
155,183
155,184
155,191
155,158
155,169
155,192
155,159
155,188
155,166
155,197
155,173
155,196
156,181
156,193
156,163
156,159
156,199
157,530
157,191
157,170
157,160
157,182
157,198
157,199
158,171
158,197
158,164
158,337
158,172
158,177
159,168
159,165
159,192
159,194
159,191
159,180
160,183
160,188
160,164
160,180
160,173
160,195
160,528
160,198
160,179
161,196
161,164
161,182
162,174
162,175
162,188
162,165
162,169
162,180
162,170
162,195
162,172
162,194
162,182
162,276
163,533
163,171
163,182
163,193
163,198
163,176
164,185
164,178
164,195
164,166
164,171
164,187
165,185
165,180
165,193
166,183
166,167
166,170
166,198
166,363
166,199
167,172
167,192
167,170
167,335
167,196
168,326
168,331
168,175
168,171
168,193
168,184
169,173
169,186
170,186
170,195
170,174
171,183
171,332
171,189
171,188
172,337
172,175
172,545
172,182
173,522
173,190
173,178
173,186
174,326
174,177
174,188
174,180
175,187
175,530
175,189
175,197
175,544
176,335
176,179
176,183
176,194
177,530
177,190
177,187
177,186
177,196
178,187
178,179
179,529
179,184
179,182
180,191
180,198
181,523
181,184
181,192
181,335
182,186
182,335
183,193
184,533
184,335
184,190
184,188
185,530
185,192
185,190
185,194
186,190
186,187
186,191
187,196
187,197
187,189
188,534
188,195
190,532
191,333
192,193
192,197
193,335
193,326
194,197
194,276
195,337
198,530
198,199
199,335
200,388
200,202
200,210
200,536
200,241
200,215
200,242
200,541
200,223
200,246
200,213
200,209
200,203
200,599
200,396
200,212
200,206
200,597
201,207
201,219
201,365
201,211
201,233
201,249
201,601
201,270
201,228
201,239
201,609
202,236
202,226
202,227
202,206
202,367
202,246
202,235
202,211
202,244
203,225
203,227
203,228
203,597
203,213
203,598
203,241
203,538
203,220
203,450
203,600
204,365
204,211
204,244
204,222
204,223
204,227
204,237
204,228
204,213
204,275
205,385
205,220
205,226
205,216
205,224
205,213
205,244
205,214
205,599
206,219
206,232
206,245
206,236
206,214
206,220
206,231
206,602
206,244
207,241
207,541
207,246
207,224
207,237
207,216
207,227
207,601
207,399
208,243
208,214
208,238
208,606
208,228
208,239
208,535
208,213
208,242
208,449
208,359
208,275
208,270
209,543
209,249
209,606
209,537
209,536
209,596
209,228
209,239
209,279
209,544
209,222
210,462
210,235
210,396
210,220
210,236
210,216
210,227
210,245
210,234
210,215
210,248
211,232
211,385
211,605
211,225
211,247
211,214
211,391
211,223
212,243
212,539
212,231
212,269
212,599
213,399
213,220
213,217
213,244
213,233
213,218
213,598
213,248
213,599
213,245
213,544
213,249
213,535
214,219
214,232
214,226
214,248
214,235
214,279
214,607
214,217
214,535
215,238
215,225
215,220
215,231
215,224
215,597
215,248
215,240
215,273
216,360
216,241
216,244
216,248
216,221
217,354
217,395
217,399
217,605
217,231
217,224
218,232
218,606
218,237
218,607
218,266
218,605
218,275
218,224
218,598
219,244
219,222
219,228
219,274
219,242
219,387
219,226
219,248
219,599
220,223
220,389
220,228
220,274
220,237
220,606
220,235
221,232
221,239
221,536
222,361
222,232
222,244
222,367
222,356
222,235
222,605
222,242
222,226
223,226
223,249
223,242
223,399
223,606
223,231
223,599
223,279
223,538
223,239
223,602
223,600
224,244
224,234
224,536
224,272
224,238
225,396
225,245
225,249
225,239
225,229
225,545
225,343
225,390
226,230
226,227
227,241
227,233
227,232
227,248
228,354
228,240
228,246
228,237
228,279
228,235
228,603
228,599
228,368
229,240
229,604
229,275
229,583
229,235
230,237
230,274
230,279
231,595
231,365
231,396
231,540
231,279
231,598
231,590
231,237
232,340
232,242
232,603
232,398
232,244
232,233
232,245
232,239
232,367
233,240
233,237
233,599
233,540
233,238
233,268
234,241
234,247
234,244
234,607
234,536
234,239
234,606
235,399
235,241
235,279
236,241
236,598
236,540
237,536
237,245
237,247
237,248
237,561
237,607
237,272
237,241
238,355
238,360
238,269
238,241
238,274
239,389
239,595
239,541
239,279
239,540
240,543
240,605
240,274
240,356
240,540
240,247
240,546
240,607
241,245
241,244
241,248
241,603
241,399
241,249
242,249
242,279
242,245
243,393
243,357
243,343
243,399
243,595
243,389
243,268
244,605
244,245
244,248
244,273
245,396
245,249
245,609
245,605
245,390
246,363
246,249
246,599
246,356
246,279
248,269
248,608
248,446
248,535
248,399
249,599
249,584
249,360
249,268
250,309
252,257
252,262
252,260
253,295
254,259
254,258
254,263
254,511
254,256
255,257
256,260
256,261
257,510
258,513
258,262
258,261
259,513
259,512
259,264
260,515
260,264
260,299
260,261
261,263
264,510
265,368
265,604
266,604
266,267
268,545
268,537
268,539
268,359
268,535
268,597
268,366
269,367
269,356
269,607
270,537
270,539
270,598
270,274
270,604
270,277
270,535
270,546
270,597
271,544
271,276
271,546
272,603
272,278
273,368
273,535
274,365
274,356
274,535
274,361
274,605
275,539
277,586
278,539
278,459
279,540
279,539
280,294
282,290
282,293
282,288
282,568
283,288
286,292
287,289
295,309
295,424
295,302
296,506
296,518
296,507
297,301
297,424
297,300
298,516
299,514
299,300
301,508
301,518
301,516
304,427
305,424
306,483
306,484
306,424
307,486
307,483
307,370
308,476
308,380
309,519
309,508
310,608
311,321
311,616
311,621
312,620
312,622
312,616
312,610
313,493
313,611
314,502
314,496
314,613
314,493
315,322
315,611
315,499
316,493
316,501
317,499
317,492
317,322
318,495
318,614
318,500
318,496
318,491
318,322
319,517
320,622
320,491
320,616
320,610
321,619
323,492
323,491
323,610
324,498
324,616
324,612
324,503
324,613
324,493
325,332
325,329
325,336
326,336
326,337
327,329
327,336
328,338
328,332
329,338
329,339
330,522
330,534
330,334
330,339
331,335
332,338
333,337
334,527
334,523
336,338
336,529
338,520
339,534
341,348
342,465
342,354
343,395
345,454
345,365
345,361
345,456
346,472
346,348
346,351
346,361
347,461
347,354
348,387
349,432
350,353
350,352
350,435
351,353
351,466
352,466
352,470
352,460
352,410
353,448
355,357
355,360
356,595
357,392
357,389
357,605
357,540
358,541
360,393
360,389
360,367
361,467
361,399
361,395
362,393
362,392
364,398
365,392
365,367
365,395
366,599
366,597
366,587
367,398
367,521
369,394
370,421
370,489
371,582
371,475
371,380
371,421
372,379
372,376
373,578
374,375
374,382
376,384
377,475
377,381
378,483
378,423
379,418
380,419
380,427
382,573
382,572
385,601
387,394
388,389
389,447
391,397
392,394
392,536
393,545
395,531
395,396
395,398
395,536
397,462
398,540
398,543
400,404
401,406
401,407
403,404
403,408
404,411
405,406
408,412
409,462
409,463
413,470
413,462
413,472
414,465
415,487
416,489
417,489
418,481
419,479
419,428
420,484
420,519
420,508
420,509
421,428
421,427
422,591
423,488
425,482
425,487
425,488
425,426
425,481
426,588
426,479
427,487
427,479
428,482
428,485
428,476
429,481
430,435
430,438
433,451
434,444
435,438
435,436
436,454
436,438
436,437
437,440
437,441
438,454
440,441
443,445
446,601
447,452
448,452
448,458
449,456
449,601
449,455
451,458
452,601
452,457
457,590
461,473
462,467
462,470
462,472
467,468
470,474
470,472
471,473
472,474
475,478
475,477
476,588
476,594
477,558
478,484
478,480
479,488
479,483
482,558
482,582
482,487
483,484
487,509
490,494
490,492
491,497
491,492
492,497
492,613
492,616
493,494
493,503
494,617
494,618
494,610
494,622
496,497
496,613
496,499
497,619
498,620
498,622
499,616
499,542
500,614
501,610
501,624
503,623
505,611
505,510
506,553
506,509
514,610
520,522
520,527
521,525
522,532
524,527
525,529
526,532
535,597
535,602
535,547
536,539
537,600
539,599
540,541
540,561
541,605
542,547
543,545
545,595
546,608
547,548
548,549
550,593
550,551
550,594
551,560
551,591
552,582
553,592
553,583
553,584
554,583
554,594
554,581
555,558
555,593
556,589
557,592
558,560
559,591
560,562
562,588
563,581
563,580
567,568
567,571
569,576
569,579
573,578
580,608
582,588
583,590
593,594
595,605
596,599
596,604
598,600
602,609
602,603
610,623
611,621
612,617
613,621
614,621
617,621
618,621
