u,v
61,188
61,79
61,165
62,63
62,73
62,70
62,76
62,80
62,79
62,65
62,157
62,90
62,69
62,92
62,64
62,156
62,74
62,98
63,181
63,207
63,146
63,68
63,73
63,76
63,200
63,177
63,157
63,97
63,95
63,65
63,88
63,94
64,189
64,103
64,69
64,85
64,168
64,199
64,95
64,165
65,192
65,212
65,77
65,72
65,66
65,70
65,76
65,176
65,129
65,107
65,150
65,147
65,159
65,178
65,75
66,213
66,209
66,117
66,148
66,70
66,158
66,80
66,90
66,137
66,175
67,79
67,70
67,74
67,158
67,154
67,157
67,95
67,195
67,80
68,205
68,196
68,118
68,149
68,181
68,158
68,154
68,76
68,99
68,151
68,82
68,156
68,192
68,123
68,98
69,141
69,70
69,191
69,76
69,172
69,108
69,177
69,85
69,79
70,194
70,140
70,72
70,75
70,155
70,150
70,196
70,79
70,89
71,205
71,73
71,82
71,72
71,95
71,214
71,76
71,80
71,75
71,156
71,111
71,88
71,115
72,106
72,95
72,142
72,73
72,141
72,123
72,174
72,148
72,197
72,154
73,195
73,79
73,191
73,76
73,157
73,203
73,96
73,202
74,144
74,196
74,150
74,173
74,153
74,84
74,210
74,95
74,152
75,77
75,86
75,97
75,150
75,208
75,80
75,159
75,90
76,146
76,79
76,144
76,97
76,96
76,152
76,92
76,159
76,88
76,82
77,210
77,191
77,212
77,108
77,126
77,153
78,151
78,174
78,99
78,177
78,85
78,200
78,114
78,160
78,209
78,150
79,196
79,106
79,141
79,151
79,202
79,155
79,99
79,168
79,206
79,159
79,80
79,150
80,155
80,93
80,91
80,88
80,173
80,81
80,120
80,204
80,190
81,195
81,99
81,87
81,163
81,89
82,208
82,205
82,198
82,115
82,176
82,89
82,98
82,96
82,154
82,200
83,142
83,158
83,91
83,95
83,85
83,94
83,163
83,98
83,167
83,199
83,153
83,84
83,124
84,192
84,90
84,88
84,203
84,160
84,198
84,97
84,92
85,141
85,86
85,93
85,96
85,203
85,167
85,87
85,198
86,210
86,146
86,156
86,150
86,170
86,89
86,165
86,97
86,157
86,134
86,92
86,139
87,195
87,153
87,143
87,97
87,96
87,94
87,201
87,134
87,177
87,171
88,150
88,89
88,99
88,168
88,90
88,136
89,90
89,97
89,201
90,156
90,178
90,170
90,99
90,96
90,98
90,189
90,136
90,94
91,178
91,93
91,161
91,92
91,97
91,176
91,153
91,168
91,96
92,112
92,143
92,96
92,124
92,214
92,164
93,123
93,169
93,98
93,167
93,124
93,200
94,147
94,173
95,208
95,172
95,204
95,192
95,169
95,138
95,110
95,98
96,196
96,104
96,164
96,198
96,199
96,204
96,167
97,212
97,116
97,98
98,142
98,161
98,131
98,208
98,137
99,195
99,142
99,120
99,200
99,202
99,111
99,203
99,159
99,136
100,210
100,182
100,103
100,110
100,109
100,147
100,146
100,108
100,138
100,167
100,104
101,185
101,183
101,106
101,113
101,195
101,103
101,118
101,173
101,115
101,178
102,188
102,104
102,145
102,178
103,185
103,104
103,109
103,113
103,112
103,142
103,134
103,108
103,141
103,114
103,107
104,197
104,198
104,110
104,109
104,107
104,185
104,117
105,185
105,196
105,106
105,181
105,112
105,111
105,114
105,141
105,156
105,115
105,178
105,197
106,189
106,192
106,109
106,113
106,111
106,190
106,144
106,167
106,171
106,149
107,205
107,112
107,126
107,180
107,148
107,196
107,173
107,118
107,133
107,185
108,109
108,113
108,118
108,161
108,119
108,116
109,181
109,113
109,115
109,148
109,197
109,174
109,123
110,213
110,187
110,176
110,159
110,134
111,185
111,118
111,144
111,198
111,202
111,119
111,177
112,145
112,113
112,179
112,153
112,140
112,184
112,126
113,209
113,117
113,116
113,142
113,114
113,199
113,176
113,174
113,177
113,198
114,144
114,177
114,176
114,136
115,181
115,119
115,148
115,177
115,120
115,123
115,197
115,195
115,175
115,163
115,199
116,181
116,180
116,119
116,187
116,118
116,144
116,198
116,175
117,208
117,203
118,182
118,189
118,187
118,150
118,179
118,168
118,160
118,147
118,119
118,197
118,176
119,149
119,176
119,177
120,165
120,133
120,136
120,125
120,123
120,121
120,137
121,178
121,169
121,163
121,124
121,126
121,127
121,175
122,133
122,135
122,138
122,132
122,165
123,175
123,162
123,139
123,133
123,169
123,136
123,126
124,176
124,165
124,137
124,136
124,125
124,131
125,194
125,135
126,187
126,157
126,170
126,127
126,160
126,133
126,128
126,167
127,145
127,136
127,132
127,175
127,129
127,179
127,131
128,179
128,170
128,162
128,203
128,135
128,204
128,138
128,168
128,131
129,148
129,130
129,163
129,167
129,135
129,198
129,165
130,174
130,208
130,137
131,172
131,176
131,143
131,166
131,160
131,167
131,139
131,174
131,135
131,133
132,148
132,173
132,138
133,160
133,162
133,139
133,138
134,171
134,136
134,176
134,164
135,173
135,201
135,160
135,164
135,139
135,162
135,175
136,166
136,137
136,178
137,177
137,162
138,147
138,170
138,204
138,167
138,139
138,174
139,175
139,171
139,140
139,163
139,173
140,184
140,196
140,147
140,146
140,164
140,204
140,206
141,211
141,145
141,143
142,147
142,148
142,176
142,213
142,157
142,156
143,189
143,207
143,186
143,147
144,192
144,147
144,181
144,204
144,162
144,152
144,145
144,172
145,192
145,195
145,176
145,167
146,196
146,147
146,152
146,179
147,181
147,206
147,150
147,176
147,198
147,148
148,198
148,199
149,188
149,173
150,156
150,154
150,152
151,207
151,160
151,156
151,159
151,157
152,158
152,185
152,174
153,211
153,158
153,202
154,158
154,155
155,203
155,157
156,198
156,158
156,157
156,162
156,159
156,207
157,178
157,159
159,173
159,201
160,162
160,169
160,195
160,164
160,170
160,176
161,168
162,176
162,166
163,174
163,171
163,170
163,164
163,201
163,202
163,169
163,166
163,168
164,203
164,196
165,177
166,171
167,203
168,212
170,171
170,195
170,205
170,203
170,177
170,176
170,206
171,206
171,178
171,180
171,199
172,178
173,184
173,195
175,179
175,180
176,193
176,183
176,197
176,179
177,196
177,178
177,208
177,200
178,189
180,181
181,182
181,210
181,187
181,188
181,197
181,183
182,190
182,189
182,185
182,196
183,188
184,186
184,199
184,189
184,214
186,190
186,187
186,189
186,213
187,191
187,189
190,214
190,191
190,213
190,208
190,205
190,193
191,208
191,194
191,205
192,210
193,206
194,214
194,213
195,208
195,198
195,214
196,207
197,214
198,207
199,213
199,207
200,207
202,204
203,204
203,211
205,212
205,208
205,210
207,214
207,209
207,208
210,214
211,214
212,213
